Query_ID,Timestamp,Region,Customer_Type,Category,Query_Text,Resolution_Time_Hours,Escalated
25,2025-10-17 16:17:25.227568,Matabeleland North,Residential,Decoder Fault,Decoder rebooting or not powering on.,8,No
26,2025-10-18 00:44:25.227568,Mashonaland West,Residential,Account Suspension,Account suspended despite payment.,60,Yes
27,2025-09-19 08:11:25.227568,Manicaland,Commercial,Signal Loss,Poor signal reception reported.,38,Yes
28,2025-11-05 02:56:25.227568,Matabeleland North,Commercial,Signal Loss,Poor signal reception reported.,68,Yes
29,2025-10-11 14:35:25.227568,Harare,Residential,Payment Failure,Payment made but account not reconnected.,54,No
30,2025-12-03 03:11:25.227568,Midlands,Residential,Payment Failure,Payment made but account not reconnected.,27,No
31,2025-12-10 14:48:25.227568,Mashonaland Central,Residential,Account Suspension,Account suspended despite payment.,59,Yes
32,2025-09-25 22:11:25.227568,Harare,Residential,Payment Failure,Payment made but account not reconnected.,37,No
33,2025-11-02 06:30:25.227568,Harare,Residential,E16 Error,Customer experiencing E16 error; channels not showing.,8,No
34,2025-10-07 15:53:25.227568,Matabeleland North,Residential,Signal Loss,Poor signal reception reported.,12,No
35,2025-11-06 17:58:25.227568,Manicaland,Commercial,Payment Failure,Payment made but account not reconnected.,12,No
36,2025-11-24 01:13:25.227568,Mashonaland West,Residential,Payment Failure,Payment made but account not reconnected.,19,No
37,2025-11-26 11:21:25.227568,Bulawayo,Commercial,Signal Loss,Poor signal reception reported.,45,Yes
38,2025-10-15 21:28:25.227568,Midlands,Residential,Subscription Renewal,Customer requesting subscription renewal.,7,No
39,2025-11-15 17:09:25.227568,Midlands,Residential,Payment Failure,Payment made but account not reconnected.,71,Yes
40,2025-12-02 04:15:25.227568,Mashonaland West,Residential,Payment Failure,Payment made but account not reconnected.,30,Yes
41,2025-11-11 00:26:25.227568,Midlands,Residential,Signal Loss,Poor signal reception reported.,30,No
42,2025-09-25 06:49:25.227568,Mashonaland East,Residential,Account Suspension,Account suspended despite payment.,42,No
43,2025-10-07 07:35:25.227568,Mashonaland West,Residential,Payment Failure,Payment made but account not reconnected.,13,Yes
44,2025-11-18 14:40:25.227568,Manicaland,Residential,Subscription Renewal,Customer requesting subscription renewal.,29,No
45,2025-09-16 14:37:25.227568,Manicaland,Residential,Subscription Renewal,Customer requesting subscription renewal.,65,No
46,2025-11-20 12:57:25.227568,Matabeleland South,Residential,Account Suspension,Account suspended despite payment.,68,No
47,2025-10-20 14:49:25.227568,Masvingo,Residential,E16 Error,Customer experiencing E16 error; channels not showing.,70,No
48,2025-11-16 11:54:25.227568,Mashonaland East,Residential,Signal Loss,Poor signal reception reported.,12,Yes
49,2025-12-12 22:22:25.227568,Matabeleland South,Residential,Decoder Fault,Decoder rebooting or not powering on.,6,No
50,2025-10-06 13:09:25.227568,Mashonaland East,Residential,Payment Failure,Payment made but account not reconnected.,26,Yes
51,2025-09-26 02:30:25.227568,Mashonaland Central,Residential,E16 Error,Customer experiencing E16 error; channels not showing.,52,No
52,2025-12-01 20:27:25.227568,Bulawayo,Residential,Payment Failure,Payment made but account not reconnected.,12,No
53,2025-09-26 18:13:25.227568,Matabeleland North,Commercial,E16 Error,Customer experiencing E16 error; channels not showing.,8,No
54,2025-10-20 13:14:25.227568,Manicaland,Residential,Account Suspension,Account suspended despite payment.,4,No
55,2025-10-14 12:52:25.227568,Matabeleland North,Residential,Decoder Fault,Decoder rebooting or not powering on.,51,Yes
56,2025-10-06 09:52:25.227568,Midlands,Residential,Subscription Renewal,Customer requesting subscription renewal.,27,No
57,2025-11-18 15:39:25.227568,Masvingo,Residential,Signal Loss,Poor signal reception reported.,24,No
58,2025-11-29 00:39:25.227568,Harare,Commercial,E16 Error,Customer experiencing E16 error; channels not showing.,12,No
59,2025-10-23 12:53:25.227568,Manicaland,Residential,Subscription Renewal,Customer requesting subscription renewal.,43,No
60,2025-09-18 06:52:25.227568,Midlands,Residential,E16 Error,Customer experiencing E16 error; channels not showing.,34,No
61,2025-10-12 22:29:25.227568,Manicaland,Residential,Payment Failure,Payment made but account not reconnected.,71,Yes
62,2025-10-26 03:33:25.227568,Masvingo,Residential,Bouquet Upgrade,Customer wants to upgrade bouquet.,50,No
63,2025-11-09 05:15:25.227568,Mashonaland East,Commercial,Bouquet Upgrade,Customer wants to upgrade bouquet.,51,No
64,2025-11-02 15:26:25.227568,Masvingo,Residential,Payment Failure,Payment made but account not reconnected.,62,No
65,2025-11-10 13:14:25.227568,Matabeleland North,Commercial,Account Suspension,Account suspended despite payment.,10,No
66,2025-10-21 20:14:25.227568,Mashonaland West,Residential,Bouquet Upgrade,Customer wants to upgrade bouquet.,53,No
67,2025-10-25 20:18:25.227568,Masvingo,Residential,Signal Loss,Poor signal reception reported.,24,No
68,2025-10-24 09:49:25.227568,Mashonaland East,Commercial,E16 Error,Customer experiencing E16 error; channels not showing.,14,No
69,2025-10-30 23:03:25.227568,Mashonaland West,Residential,E16 Error,Customer experiencing E16 error; channels not showing.,11,No
70,2025-09-26 17:42:25.227568,Matabeleland North,Residential,Account Suspension,Account suspended despite payment.,29,Yes
71,2025-12-05 10:32:25.227568,Mashonaland West,Residential,Bouquet Upgrade,Customer wants to upgrade bouquet.,10,No
72,2025-10-04 08:38:25.227568,Bulawayo,Residential,Bouquet Upgrade,Customer wants to upgrade bouquet.,16,Yes
73,2025-12-05 08:40:25.227568,Masvingo,Residential,Signal Loss,Poor signal reception reported.,42,No
74,2025-11-25 07:58:25.227568,Matabeleland South,Residential,Subscription Renewal,Customer requesting subscription renewal.,20,No
75,2025-09-21 08:13:25.227568,Bulawayo,Residential,Signal Loss,Poor signal reception reported.,48,No
76,2025-09-30 11:07:25.227568,Harare,Residential,Decoder Fault,Decoder rebooting or not powering on.,69,Yes
77,2025-10-09 23:17:25.227568,Harare,Residential,E16 Error,Customer experiencing E16 error; channels not showing.,20,No
78,2025-10-07 05:00:25.227568,Midlands,Residential,Decoder Fault,Decoder rebooting or not powering on.,64,Yes
79,2025-11-01 16:59:25.227568,Mashonaland East,Residential,Decoder Fault,Decoder rebooting or not powering on.,3,Yes
80,2025-12-09 12:10:25.227568,Manicaland,Commercial,Decoder Fault,Decoder rebooting or not powering on.,53,No
81,2025-11-12 00:02:25.227568,Midlands,Residential,Signal Loss,Poor signal reception reported.,26,No
82,2025-10-13 05:43:25.227568,Midlands,Commercial,Payment Failure,Payment made but account not reconnected.,51,No
83,2025-11-18 05:25:25.227568,Mashonaland East,Commercial,Payment Failure,Payment made but account not reconnected.,30,Yes
84,2025-10-04 18:18:25.227568,Matabeleland South,Residential,E16 Error,Customer experiencing E16 error; channels not showing.,53,No
85,2025-11-30 13:05:25.227568,Masvingo,Residential,E16 Error,Customer experiencing E16 error; channels not showing.,43,No
86,2025-11-16 18:51:25.227568,Harare,Residential,Decoder Fault,Decoder rebooting or not powering on.,36,No
87,2025-11-08 21:45:25.227568,Harare,Residential,Signal Loss,Poor signal reception reported.,6,Yes
88,2025-12-02 11:18:25.227568,Matabeleland North,Residential,Account Suspension,Account suspended despite payment.,52,No
89,2025-10-26 05:00:25.227568,Masvingo,Residential,Payment Failure,Payment made but account not reconnected.,54,Yes
90,2025-10-21 21:51:25.227568,Matabeleland South,Commercial,Signal Loss,Poor signal reception reported.,10,No
91,2025-09-20 04:56:25.227568,Bulawayo,Commercial,Subscription Renewal,Customer requesting subscription renewal.,2,No
92,2025-11-16 07:24:25.227568,Bulawayo,Residential,Subscription Renewal,Customer requesting subscription renewal.,52,No
93,2025-11-04 23:11:25.227568,Matabeleland North,Residential,Signal Loss,Poor signal reception reported.,45,No
94,2025-11-25 16:30:25.227568,Matabeleland North,Residential,Account Suspension,Account suspended despite payment.,69,No
95,2025-11-12 11:00:25.227568,Midlands,Residential,Account Suspension,Account suspended despite payment.,19,No
96,2025-10-08 14:39:25.227568,Harare,Residential,Payment Failure,Payment made but account not reconnected.,9,No
97,2025-11-15 19:06:25.227568,Matabeleland South,Commercial,Subscription Renewal,Customer requesting subscription renewal.,70,No
98,2025-11-02 02:31:25.227568,Mashonaland East,Residential,Payment Failure,Payment made but account not reconnected.,21,Yes
99,2025-11-29 19:29:25.227568,Matabeleland South,Residential,Decoder Fault,Decoder rebooting or not powering on.,65,No
100,2025-10-15 10:37:25.227568,Matabeleland South,Residential,Subscription Renewal,Customer requesting subscription renewal.,27,Yes
101,2025-10-24 21:24:25.227568,Matabeleland South,Residential,Subscription Renewal,Customer requesting subscription renewal.,14,No
102,2025-10-06 22:13:25.227568,Matabeleland South,Residential,Bouquet Upgrade,Customer wants to upgrade bouquet.,52,Yes
103,2025-11-06 06:48:25.227568,Mashonaland East,Residential,E16 Error,Customer experiencing E16 error; channels not showing.,50,No
104,2025-12-12 13:58:25.227568,Bulawayo,Residential,E16 Error,Customer experiencing E16 error; channels not showing.,7,No
105,2025-11-05 05:18:25.227568,Matabeleland South,Residential,Signal Loss,Poor signal reception reported.,67,Yes
106,2025-10-20 04:32:25.227568,Manicaland,Residential,Bouquet Upgrade,Customer wants to upgrade bouquet.,26,No
107,2025-12-10 14:20:25.227568,Matabeleland South,Residential,Bouquet Upgrade,Customer wants to upgrade bouquet.,28,Yes
108,2025-09-23 21:49:25.227568,Matabeleland North,Residential,E16 Error,Customer experiencing E16 error; channels not showing.,28,No
109,2025-10-22 03:46:25.227568,Mashonaland West,Residential,Account Suspension,Account suspended despite payment.,37,No
110,2025-10-03 09:11:25.227568,Masvingo,Residential,Decoder Fault,Decoder rebooting or not powering on.,1,Yes
111,2025-09-28 05:19:25.227568,Midlands,Residential,Account Suspension,Account suspended despite payment.,47,No
112,2025-10-18 15:00:25.227568,Midlands,Residential,E16 Error,Customer experiencing E16 error; channels not showing.,14,No
113,2025-09-23 05:05:25.227568,Mashonaland East,Commercial,Decoder Fault,Decoder rebooting or not powering on.,69,No
114,2025-10-07 23:31:25.227568,Matabeleland North,Residential,Payment Failure,Payment made but account not reconnected.,48,Yes
115,2025-10-17 15:32:25.227568,Bulawayo,Residential,Bouquet Upgrade,Customer wants to upgrade bouquet.,17,No
116,2025-11-13 11:07:25.227568,Matabeleland South,Residential,Bouquet Upgrade,Customer wants to upgrade bouquet.,68,No
117,2025-11-12 15:53:25.227568,Matabeleland South,Residential,Account Suspension,Account suspended despite payment.,15,No
118,2025-10-22 00:28:25.227568,Harare,Residential,E16 Error,Customer experiencing E16 error; channels not showing.,58,No
119,2025-10-20 21:53:25.227568,Midlands,Residential,Decoder Fault,Decoder rebooting or not powering on.,16,No
120,2025-10-21 21:14:25.227568,Harare,Residential,Signal Loss,Poor signal reception reported.,25,No
121,2025-12-01 06:07:25.227568,Mashonaland East,Residential,Signal Loss,Poor signal reception reported.,20,No
122,2025-10-30 22:19:25.227568,Manicaland,Residential,Account Suspension,Account suspended despite payment.,25,Yes
123,2025-12-13 08:48:25.227568,Mashonaland East,Residential,E16 Error,Customer experiencing E16 error; channels not showing.,11,No
124,2025-09-24 09:23:25.227568,Manicaland,Residential,Payment Failure,Payment made but account not reconnected.,28,No
125,2025-10-08 23:06:25.227568,Mashonaland Central,Residential,Decoder Fault,Decoder rebooting or not powering on.,26,Yes
126,2025-10-20 04:21:25.227568,Manicaland,Commercial,Account Suspension,Account suspended despite payment.,46,No
127,2025-09-30 08:36:25.227568,Harare,Commercial,Subscription Renewal,Customer requesting subscription renewal.,22,No
128,2025-10-25 03:09:25.227568,Harare,Residential,Decoder Fault,Decoder rebooting or not powering on.,66,No
129,2025-10-31 17:11:25.227568,Mashonaland East,Residential,Decoder Fault,Decoder rebooting or not powering on.,30,Yes
130,2025-09-24 04:19:25.227568,Mashonaland East,Residential,Subscription Renewal,Customer requesting subscription renewal.,25,No
131,2025-11-29 10:43:25.227568,Mashonaland West,Commercial,Decoder Fault,Decoder rebooting or not powering on.,33,Yes
132,2025-12-10 21:29:25.227568,Bulawayo,Residential,Payment Failure,Payment made but account not reconnected.,8,Yes
133,2025-11-11 03:09:25.227568,Manicaland,Residential,Decoder Fault,Decoder rebooting or not powering on.,22,Yes
134,2025-10-13 02:26:25.227568,Bulawayo,Residential,Decoder Fault,Decoder rebooting or not powering on.,25,No
135,2025-10-28 15:40:25.227568,Matabeleland South,Residential,Payment Failure,Payment made but account not reconnected.,62,No
136,2025-09-20 01:13:25.227568,Bulawayo,Residential,Signal Loss,Poor signal reception reported.,69,No
137,2025-11-20 01:38:25.227568,Bulawayo,Residential,Payment Failure,Payment made but account not reconnected.,18,No
138,2025-11-29 13:35:25.227568,Mashonaland West,Residential,Subscription Renewal,Customer requesting subscription renewal.,38,No
139,2025-09-24 23:48:25.227568,Matabeleland South,Residential,Payment Failure,Payment made but account not reconnected.,6,No
140,2025-09-21 20:56:25.227568,Matabeleland North,Residential,Subscription Renewal,Customer requesting subscription renewal.,19,No
141,2025-10-17 14:54:25.227568,Matabeleland North,Residential,Bouquet Upgrade,Customer wants to upgrade bouquet.,54,No
142,2025-10-12 09:04:25.227568,Mashonaland Central,Residential,Signal Loss,Poor signal reception reported.,2,No
143,2025-11-28 12:41:25.227568,Mashonaland East,Residential,Payment Failure,Payment made but account not reconnected.,64,No
144,2025-11-08 22:38:25.227568,Matabeleland South,Commercial,Payment Failure,Payment made but account not reconnected.,63,No
145,2025-11-16 14:26:25.227568,Mashonaland West,Residential,Payment Failure,Payment made but account not reconnected.,71,Yes
146,2025-11-15 21:38:25.227568,Midlands,Residential,E16 Error,Customer experiencing E16 error; channels not showing.,46,No
147,2025-10-18 04:21:25.227568,Manicaland,Residential,Bouquet Upgrade,Customer wants to upgrade bouquet.,19,No
148,2025-12-03 18:54:25.227568,Mashonaland Central,Residential,Signal Loss,Poor signal reception reported.,49,No
149,2025-11-29 09:36:25.227568,Mashonaland Central,Residential,Subscription Renewal,Customer requesting subscription renewal.,59,No
150,2025-11-03 20:42:25.227568,Mashonaland East,Residential,Bouquet Upgrade,Customer wants to upgrade bouquet.,71,Yes
151,2025-10-02 23:36:25.227568,Matabeleland North,Commercial,Account Suspension,Account suspended despite payment.,43,Yes
152,2025-11-10 16:57:25.227568,Masvingo,Residential,Account Suspension,Account suspended despite payment.,63,Yes
153,2025-10-03 11:16:25.227568,Matabeleland South,Residential,Signal Loss,Poor signal reception reported.,51,No
154,2025-11-11 23:50:25.227568,Harare,Residential,Bouquet Upgrade,Customer wants to upgrade bouquet.,26,No
155,2025-11-08 15:57:25.227568,Mashonaland East,Residential,Subscription Renewal,Customer requesting subscription renewal.,51,No
156,2025-10-18 19:56:25.227568,Mashonaland West,Residential,Account Suspension,Account suspended despite payment.,21,No
157,2025-12-09 13:19:25.227568,Mashonaland West,Residential,Account Suspension,Account suspended despite payment.,62,No
158,2025-11-27 17:09:25.227568,Mashonaland West,Residential,Account Suspension,Account suspended despite payment.,59,No
159,2025-11-29 16:36:25.227568,Harare,Commercial,Signal Loss,Poor signal reception reported.,23,Yes
160,2025-10-18 16:19:25.227568,Bulawayo,Residential,E16 Error,Customer experiencing E16 error; channels not showing.,70,No
161,2025-12-06 06:25:25.227568,Harare,Residential,E16 Error,Customer experiencing E16 error; channels not showing.,33,No
162,2025-10-07 02:09:25.227568,Harare,Residential,Account Suspension,Account suspended despite payment.,3,Yes
163,2025-12-05 07:58:25.227568,Matabeleland North,Residential,Decoder Fault,Decoder rebooting or not powering on.,67,No
164,2025-11-07 15:08:25.227568,Midlands,Residential,E16 Error,Customer experiencing E16 error; channels not showing.,68,Yes
165,2025-10-20 14:01:25.227568,Midlands,Residential,Payment Failure,Payment made but account not reconnected.,54,No
166,2025-10-06 18:42:25.227568,Manicaland,Residential,Account Suspension,Account suspended despite payment.,38,Yes
167,2025-12-06 18:21:25.227568,Matabeleland South,Residential,Decoder Fault,Decoder rebooting or not powering on.,2,Yes
168,2025-12-12 14:25:25.227568,Harare,Residential,Decoder Fault,Decoder rebooting or not powering on.,58,No
169,2025-09-20 20:47:25.227568,Harare,Residential,Signal Loss,Poor signal reception reported.,15,Yes
170,2025-10-24 02:35:25.227568,Masvingo,Commercial,Subscription Renewal,Customer requesting subscription renewal.,68,No
171,2025-12-03 05:22:25.227568,Mashonaland Central,Residential,Bouquet Upgrade,Customer wants to upgrade bouquet.,52,No
172,2025-11-15 06:32:25.227568,Harare,Commercial,Decoder Fault,Decoder rebooting or not powering on.,68,No
173,2025-09-24 12:55:25.227568,Mashonaland Central,Commercial,Subscription Renewal,Customer requesting subscription renewal.,30,No
174,2025-10-23 18:54:25.227568,Harare,Residential,Signal Loss,Poor signal reception reported.,61,No
175,2025-11-12 15:21:25.227568,Mashonaland Central,Residential,Bouquet Upgrade,Customer wants to upgrade bouquet.,14,No
176,2025-11-04 22:29:25.227568,Mashonaland Central,Commercial,Payment Failure,Payment made but account not reconnected.,39,No
177,2025-10-11 19:42:25.227568,Matabeleland North,Residential,Payment Failure,Payment made but account not reconnected.,14,No
178,2025-10-11 08:08:25.227568,Bulawayo,Commercial,Payment Failure,Payment made but account not reconnected.,10,No
179,2025-12-07 11:38:25.227568,Midlands,Residential,Bouquet Upgrade,Customer wants to upgrade bouquet.,15,No
180,2025-12-07 20:53:25.227568,Mashonaland East,Commercial,E16 Error,Customer experiencing E16 error; channels not showing.,62,No
181,2025-12-06 13:23:25.227568,Bulawayo,Residential,Account Suspension,Account suspended despite payment.,19,No
182,2025-09-20 07:05:25.227568,Midlands,Commercial,Payment Failure,Payment made but account not reconnected.,53,No
183,2025-12-11 17:39:25.227568,Harare,Residential,Subscription Renewal,Customer requesting subscription renewal.,10,No
184,2025-12-10 15:53:25.227568,Mashonaland East,Residential,Payment Failure,Payment made but account not reconnected.,67,Yes
185,2025-10-05 01:27:25.227568,Matabeleland South,Residential,Signal Loss,Poor signal reception reported.,36,Yes
186,2025-11-19 11:19:25.227568,Harare,Residential,Signal Loss,Poor signal reception reported.,20,No
187,2025-12-06 22:45:25.227568,Bulawayo,Residential,Decoder Fault,Decoder rebooting or not powering on.,3,No
188,2025-11-29 13:12:25.227568,Matabeleland North,Residential,Subscription Renewal,Customer requesting subscription renewal.,12,Yes
189,2025-11-23 03:51:25.227568,Bulawayo,Commercial,Account Suspension,Account suspended despite payment.,17,Yes
190,2025-11-21 03:44:25.227568,Midlands,Residential,Payment Failure,Payment made but account not reconnected.,44,Yes
191,2025-10-25 10:57:25.227568,Manicaland,Residential,Decoder Fault,Decoder rebooting or not powering on.,39,No
192,2025-11-12 13:32:25.227568,Matabeleland North,Residential,E16 Error,Customer experiencing E16 error; channels not showing.,66,No
193,2025-11-18 15:14:25.227568,Mashonaland Central,Residential,Payment Failure,Payment made but account not reconnected.,22,No
194,2025-11-04 14:59:25.227568,Mashonaland Central,Residential,Payment Failure,Payment made but account not reconnected.,71,No
195,2025-11-03 13:32:25.227568,Matabeleland South,Residential,Decoder Fault,Decoder rebooting or not powering on.,5,No
196,2025-10-25 15:14:25.227568,Masvingo,Residential,Decoder Fault,Decoder rebooting or not powering on.,31,No
197,2025-11-09 23:26:25.227568,Matabeleland North,Residential,Signal Loss,Poor signal reception reported.,51,No
198,2025-10-11 02:40:25.227568,Masvingo,Residential,Account Suspension,Account suspended despite payment.,49,No
199,2025-09-16 16:13:25.227568,Mashonaland East,Residential,Subscription Renewal,Customer requesting subscription renewal.,60,No
200,2025-11-02 18:55:25.227568,Manicaland,Residential,Decoder Fault,Decoder rebooting or not powering on.,2,Yes
201,2025-10-20 03:28:25.227568,Harare,Residential,Subscription Renewal,Customer requesting subscription renewal.,15,No
202,2025-10-05 11:53:25.227568,Midlands,Residential,Account Suspension,Account suspended despite payment.,54,No
203,2025-10-16 22:13:25.227568,Matabeleland South,Residential,Account Suspension,Account suspended despite payment.,47,No
204,2025-11-29 15:22:25.227568,Mashonaland Central,Residential,E16 Error,Customer experiencing E16 error; channels not showing.,12,No
205,2025-12-13 11:31:25.227568,Matabeleland South,Residential,Subscription Renewal,Customer requesting subscription renewal.,3,No
206,2025-12-12 14:21:25.227568,Masvingo,Residential,Signal Loss,Poor signal reception reported.,50,No
207,2025-11-07 22:41:25.227568,Bulawayo,Residential,Subscription Renewal,Customer requesting subscription renewal.,11,No
208,2025-09-19 21:42:25.227568,Harare,Residential,Account Suspension,Account suspended despite payment.,34,No
209,2025-11-22 21:32:25.227568,Mashonaland East,Commercial,Bouquet Upgrade,Customer wants to upgrade bouquet.,12,No
210,2025-12-03 18:38:25.227568,Matabeleland South,Residential,Bouquet Upgrade,Customer wants to upgrade bouquet.,65,No
211,2025-10-14 05:35:25.227568,Manicaland,Residential,Account Suspension,Account suspended despite payment.,48,No
212,2025-12-09 15:40:25.227568,Mashonaland West,Commercial,Signal Loss,Poor signal reception reported.,2,No
213,2025-11-17 01:43:25.227568,Mashonaland East,Residential,Payment Failure,Payment made but account not reconnected.,35,Yes
214,2025-10-10 02:21:25.227568,Matabeleland South,Residential,Decoder Fault,Decoder rebooting or not powering on.,31,Yes
215,2025-09-25 04:24:25.227568,Masvingo,Residential,Bouquet Upgrade,Customer wants to upgrade bouquet.,63,No
216,2025-11-26 03:27:25.227568,Manicaland,Residential,Subscription Renewal,Customer requesting subscription renewal.,17,No
217,2025-11-03 11:44:25.227568,Mashonaland West,Residential,Bouquet Upgrade,Customer wants to upgrade bouquet.,32,No
218,2025-09-18 02:52:25.227568,Midlands,Residential,Subscription Renewal,Customer requesting subscription renewal.,7,No
219,2025-10-23 13:45:25.227568,Mashonaland Central,Residential,Decoder Fault,Decoder rebooting or not powering on.,21,No
220,2025-10-14 05:35:25.227568,Manicaland,Commercial,Subscription Renewal,Customer requesting subscription renewal.,1,No
221,2025-10-19 18:02:25.227568,Mashonaland Central,Commercial,E16 Error,Customer experiencing E16 error; channels not showing.,44,No
222,2025-10-23 01:40:25.227568,Mashonaland East,Residential,E16 Error,Customer experiencing E16 error; channels not showing.,29,No
223,2025-10-18 18:51:25.227568,Masvingo,Residential,Bouquet Upgrade,Customer wants to upgrade bouquet.,15,No
224,2025-12-09 23:03:25.227568,Manicaland,Residential,Bouquet Upgrade,Customer wants to upgrade bouquet.,34,Yes
225,2025-10-25 18:59:25.227568,Harare,Residential,Bouquet Upgrade,Customer wants to upgrade bouquet.,25,No
226,2025-09-16 04:01:25.227568,Harare,Residential,Bouquet Upgrade,Customer wants to upgrade bouquet.,28,No
227,2025-10-25 07:48:25.227568,Mashonaland West,Residential,Payment Failure,Payment made but account not reconnected.,60,No
228,2025-10-05 18:20:25.227568,Mashonaland Central,Residential,Signal Loss,Poor signal reception reported.,29,Yes
229,2025-10-04 01:29:25.227568,Manicaland,Commercial,Payment Failure,Payment made but account not reconnected.,6,No
230,2025-11-05 07:56:25.227568,Mashonaland West,Commercial,E16 Error,Customer experiencing E16 error; channels not showing.,50,No
231,2025-11-26 10:27:25.227568,Matabeleland South,Residential,E16 Error,Customer experiencing E16 error; channels not showing.,29,No
232,2025-11-14 00:47:25.227568,Mashonaland Central,Residential,E16 Error,Customer experiencing E16 error; channels not showing.,19,No
233,2025-10-27 01:55:25.227568,Mashonaland West,Residential,Bouquet Upgrade,Customer wants to upgrade bouquet.,36,No
234,2025-10-17 21:53:25.227568,Masvingo,Residential,Bouquet Upgrade,Customer wants to upgrade bouquet.,49,Yes
235,2025-11-02 04:36:25.227568,Manicaland,Residential,Payment Failure,Payment made but account not reconnected.,66,Yes
236,2025-10-05 09:55:25.227568,Matabeleland North,Residential,Signal Loss,Poor signal reception reported.,9,No
237,2025-09-21 02:58:25.227568,Midlands,Residential,Signal Loss,Poor signal reception reported.,11,No
238,2025-09-22 06:57:25.227568,Midlands,Residential,Signal Loss,Poor signal reception reported.,45,No
239,2025-11-09 03:20:25.227568,Masvingo,Residential,Payment Failure,Payment made but account not reconnected.,14,No
240,2025-09-27 07:28:25.227568,Masvingo,Residential,Signal Loss,Poor signal reception reported.,68,No
241,2025-11-24 23:33:25.227568,Harare,Residential,Bouquet Upgrade,Customer wants to upgrade bouquet.,23,No
242,2025-10-09 11:31:25.227568,Matabeleland North,Residential,Decoder Fault,Decoder rebooting or not powering on.,13,No
243,2025-10-23 23:27:25.227568,Mashonaland East,Residential,Bouquet Upgrade,Customer wants to upgrade bouquet.,27,No
244,2025-10-03 14:52:25.227568,Mashonaland Central,Residential,Bouquet Upgrade,Customer wants to upgrade bouquet.,66,No
245,2025-09-23 19:34:25.227568,Manicaland,Residential,Payment Failure,Payment made but account not reconnected.,24,No
246,2025-09-25 12:00:25.227568,Matabeleland South,Commercial,E16 Error,Customer experiencing E16 error; channels not showing.,32,No
247,2025-12-07 01:14:25.227568,Masvingo,Residential,Signal Loss,Poor signal reception reported.,51,No
248,2025-11-24 09:47:25.227568,Mashonaland East,Residential,Payment Failure,Payment made but account not reconnected.,23,No
249,2025-10-01 09:09:25.227568,Midlands,Residential,Payment Failure,Payment made but account not reconnected.,57,No
250,2025-09-20 00:56:25.227568,Mashonaland East,Residential,Account Suspension,Account suspended despite payment.,44,No
251,2025-09-23 17:08:25.227568,Mashonaland West,Residential,Signal Loss,Poor signal reception reported.,63,No
